       Cycle  Month  Quarter  Failure_Percentage  Num_Previous_Execution  Verdict       LastRan  LastResults  gap_cats
86        79      3        1            0.034483                4.465908        0  1.459184e+09            0         1
87        80      3        1            0.034091                4.477337        0  1.459271e+09            0         1
88        81      3        1            0.033708                4.488636        0  1.459357e+09            0         1
89        82      3        1            0.033333                4.499810        0  1.459444e+09            0         1
90        83      4        2            0.032967                4.510860        1  1.459530e+09            0         1
91        84      4        2            0.043478                4.521789        1  1.459616e+09            1         1
92        85      4        2            0.053763                4.532599        1  1.459703e+09            1         1
93        86      4        2            0.063830                4.543295        1  1.459789e+09            1         1
94        87      4        2            0.073684                4.553877        0  1.459841e+09            1         0
95        87      4        2            0.072917                4.564348        0  1.459876e+09            0         0
96        88      4        2            0.072165                4.574711        0  1.459962e+09            0         1
97        89      4        2            0.071429                4.584967        0  1.460048e+09            0         1
98        90      4        2            0.070707                4.595120        0  1.460135e+09            0         1
99        91      4        2            0.070000                4.605170        0  1.460221e+09            0         1
100       92      4        2            0.069307                4.615121        0  1.460308e+09            0         1
101       93      4        2            0.068627                4.624973        0  1.460394e+09            0         1
102       94      4        2            0.067961                4.634729        0  1.460480e+09            0         1
103       95      4        2            0.067308                4.644391        0  1.460567e+09            0         1
104       96      4        2            0.066667                4.653960        0  1.460653e+09            0         1
105       97      4        2            0.066038                4.663439        0  1.460740e+09            0         1
106       99      4        2            0.065421                4.672829        0  1.460826e+09            0         1
107      101      4        2            0.064815                4.682131        1  1.460918e+09            0         1
108      102      4        2            0.073394                4.691348        0  1.460999e+09            1         0
109      103      4        2            0.072727                4.700480        0  1.461085e+09            0         1
110      104      4        2            0.072072                4.709530        0  1.461145e+09            0         0
111      104      4        2            0.071429                4.718499        0  1.461172e+09            0         0
112      105      4        2            0.070796                4.727388        0  1.461258e+09            0         1
113      106      4        2            0.070175                4.736198        0  1.461344e+09            0         1
114      107      4        2            0.069565                4.744932        0  1.461431e+09            0         1
115      108      4        2            0.068966                4.753590        0  1.461517e+09            0         1
116      109      4        2            0.068376                4.762174        0  1.461604e+09            0         0
117      110      4        2            0.067797                4.770685        0  1.461690e+09            0         1
118      111      4        2            0.067227                4.779123        0  1.461776e+09            0         1
119      113      5        2            0.066667                4.787492        0  1.462208e+09            0         2
120      114      5        2            0.066116                4.795791        0  1.462295e+09            0         1
121      115      5        2            0.065574                4.804021        0  1.462381e+09            0         1
122      116      5        2            0.065041                4.812184        0  1.462468e+09            0         1
123      117      5        2            0.064516                4.820282        0  1.462554e+09            0         1
124      118      5        2            0.064000                4.828314        0  1.462640e+09            0         1
125      119      5        2            0.063492                4.836282        0  1.462727e+09            0         1
126      120      5        2            0.062992                4.844187        0  1.462813e+09            0         1
127      121      5        2            0.062500                4.852030        0  1.462900e+09            0         1
128      122      5        2            0.062016                4.859812        0  1.462986e+09            0         1
129      123      5        2            0.061538                4.867534        0  1.463072e+09            0         1
130      124      5        2            0.061069                4.875197        0  1.463159e+09            0         1
131      125      5        2            0.060606                4.882802        0  1.463245e+09            0         1
132      127      5        2            0.060150                4.890349        0  1.463332e+09            0         1
133      128      5        2            0.059701                4.897840        0  1.463418e+09            0         0
134      129      5        2            0.059259                4.905275        0  1.463504e+09            0         1
135      130      5        2            0.058824                4.912655        0  1.463591e+09            0         1
136      131      5        2            0.058394                4.919981        0  1.463677e+09            0         1
137      133      5        2            0.057971                4.927254        0  1.463850e+09            0         2
138      134      5        2            0.057554                4.934474        0  1.463936e+09            0         1
139      135      5        2            0.057143                4.941642        0  1.464023e+09            0         0
140      136      5        2            0.056738                4.948760        0  1.464109e+09            0         1
141      138      5        2            0.056338                4.955827        0  1.464196e+09            0         1
142      139      5        2            0.055944                4.962845        0  1.464282e+09            0         1
143      140      5        2            0.055556                4.969813        0  1.464368e+09            0         0
144      141      5        2            0.055172                4.976734        0  1.464455e+09            0         1
145      142      5        2            0.054795                4.983607        0  1.464541e+09            0         1
146      143      5        2            0.054422                4.990433        0  1.464628e+09            0         0
147      144      5        2            0.054054                4.997212        0  1.464714e+09            0         1
148      145      6        2            0.053691                5.003946        0  1.464800e+09            0         1
149      146      6        2            0.053333                5.010635        0  1.464887e+09            0         1
150      148      6        2            0.052980                5.017280        0  1.465232e+09            0         2
151      149      6        2            0.052632                5.023881        1  1.465236e+09            0         0
152      149      6        2            0.058824                5.030438        0  1.465319e+09            1         0
153      150      6        2            0.058442                5.036953        0  1.465405e+09            0         1
154      151      6        2            0.058065                5.043425        0  1.465492e+09            0         1
155      153      6        2            0.057692                5.049856        0  1.465665e+09            0         2
156      154      6        2            0.057325                5.056246        0  1.465751e+09            0         0
157      155      6        2            0.056962                5.062595        0  1.465837e+09            0         0
158      156      6        2            0.056604                5.068904        1  1.465841e+09            0         0
159      156      6        2            0.062500                5.075174        0  1.465924e+09            1         0
160      157      6        2            0.062112                5.081404        0  1.466010e+09            0         1
161      158      6        2            0.061728                5.087596        0  1.466096e+09            0         1
162      159      6        2            0.061350                5.093750        0  1.466183e+09            0         1
163      160      6        2            0.060976                5.099866        0  1.466269e+09            0         1
164      161      6        2            0.060606                5.105945        0  1.466356e+09            0         1
165      162      6        2            0.060241                5.111988        1  1.466442e+09            0         0
166      163      6        2            0.065868                5.117994        1  1.466446e+09            1         0
167      163      6        2            0.071429                5.123964        0  1.466528e+09            1         0
168      165      6        2            0.071006                5.129899        0  1.466615e+09            0         1
169      166      6        2            0.070588                5.135798        0  1.466701e+09            0         0
170      167      6        2            0.070175                5.141664        0  1.466756e+09            0         0
171      167      6        2            0.069767                5.147494        1  1.466788e+09            0         0
172      168      6        2            0.075145                5.153292        1  1.466874e+09            1         1
173      169      6        2            0.080460                5.159055        1  1.466960e+09            1         1
174      170      6        2            0.085714                5.164786        1  1.467047e+09            1         0
175      171      6        2            0.090909                5.170484        1  1.467133e+09            1         1
176      172      6        2            0.096045                5.176150        0  1.467189e+09            1         0
177      172      6        2            0.095506                5.181784        0  1.467220e+09            0         0
178      173      6        2            0.094972                5.187386        0  1.467306e+09            0         1
179      174      7        3            0.094444                5.192957        0  1.467392e+09            0         1
180      175      7        3            0.093923                5.198497        0  1.467479e+09            0         1
181      176      7        3            0.093407                5.204007        0  1.467566e+09            0         1
182      177      7        3            0.092896                5.209486        0  1.467652e+09            0         0
183      178      7        3            0.092391                5.214936        0  1.467656e+09            0         0
184      178      7        3            0.091892                5.220356        1  1.467738e+09            0         0
185      179      7        3            0.096774                5.225747        0  1.467824e+09            1         1
186      180      7        3            0.096257                5.231109        0  1.467911e+09            0         1
187      181      7        3            0.095745                5.236442        0  1.467997e+09            0         1
188      182      7        3            0.095238                5.241747        0  1.468084e+09            0         1
189      183      7        3            0.094737                5.247024        0  1.468170e+09            0         1
190      184      7        3            0.094241                5.252273        0  1.468256e+09            0         1
191      185      7        3            0.093750                5.257495        0  1.468260e+09            0         0
192      185      7        3            0.093264                5.262690        0  1.468343e+09            0         0
193      186      7        3            0.092784                5.267858        1  1.468429e+09            0         1
194      187      7        3            0.097436                5.273000        1  1.468516e+09            1         1
195      188      7        3            0.102041                5.278115        0  1.468602e+09            1         1
196      189      7        3            0.101523                5.283204        0  1.468688e+09            0         1
197      192      7        3            0.101010                5.288267        0  1.468861e+09            0         2
198      192      7        3            0.100503                5.293305        0  1.468865e+09            0         0
199      193      7        3            0.100000                5.298317        0  1.468948e+09            0         0
200      194      7        3            0.099502                5.303305        1  1.469034e+09            0         1
201      195      7        3            0.103960                5.308268        0  1.469120e+09            1         1
202      196      7        3            0.103448                5.313206        0  1.469207e+09            0         1
203      197      7        3            0.102941                5.318120        1  1.469293e+09            0         1
204      199      7        3            0.107317                5.323010        0  1.469466e+09            1         2
205      199      7        3            0.106796                5.327876        1  1.469470e+09            0         0
206      200      7        3            0.111111                5.332719        0  1.469552e+09            1         0
207      201      7        3            0.110577                5.337538        0  1.469639e+09            0         1
208      202      7        3            0.110048                5.342334        1  1.469725e+09            0         1
209      203      7        3            0.114286                5.347108        0  1.469812e+09            1         1
210      204      7        3            0.113744                5.351858        0  1.469898e+09            0         1
211      205      7        3            0.113208                5.356586        0  1.469984e+09            0         1
212      206      8        3            0.112676                5.361292        0  1.470071e+09            0         1
213      206      8        3            0.112150                5.365976        0  1.470075e+09            0         0
214      207      8        3            0.111628                5.370638        1  1.470140e+09            0         0
215      207      8        3            0.115741                5.375278        0  1.470157e+09            1         0
216      208      8        3            0.115207                5.379897        0  1.470244e+09            0         1
217      211      8        3            0.114679                5.384495        0  1.470503e+09            0         2
218      212      8        3            0.114155                5.389072        0  1.470676e+09            0         2
219      213      8        3            0.113636                5.393628        1  1.470680e+09            0         0
220      213      8        3            0.117647                5.398163        0  1.470762e+09            1         0
221      214      8        3            0.117117                5.402677        0  1.470848e+09            0         1
222      215      8        3            0.116592                5.407172        0  1.470935e+09            0         1
223      216      8        3            0.116071                5.411646        0  1.471021e+09            0         1
224      217      8        3            0.115556                5.416100        0  1.471108e+09            0         1
225      219      8        3            0.115044                5.420535        0  1.471194e+09            0         1
226      219      8        3            0.114537                5.424950        1  1.471280e+09            0         0
227      220      8        3            0.118421                5.429346        0  1.471284e+09            1         0
228      220      8        3            0.117904                5.433722        1  1.471342e+09            0         0
229      220      8        3            0.121739                5.438079        0  1.471367e+09            1         0
230      221      8        3            0.121212                5.442418        0  1.471428e+09            0         0
231      222      8        3            0.120690                5.446737        1  1.471453e+09            0         0
232      223      8        3            0.124464                5.451038        0  1.471524e+09            1         0
233      223      8        3            0.123932                5.455321        1  1.471528e+09            0         0
234      223      8        3            0.127660                5.459586        0  1.471540e+09            1         0
235      223      8        3            0.127119                5.463832        0  1.471591e+09            0         0
236      223      8        3            0.126582                5.468060        0  1.471598e+09            0         0
237      224      8        3            0.126050                5.472271        0  1.471626e+09            0         0
238      225      8        3            0.125523                5.476464        1  1.471712e+09            0         1
239      226      8        3            0.129167                5.480639        0  1.471799e+09            1         1
240      227      8        3            0.128631                5.484797        1  1.471885e+09            0         0
241      228      8        3            0.132231                5.488938        0  1.471889e+09            1         0
242      228      8        3            0.131687                5.493061        0  1.471972e+09            0         0
243      229      8        3            0.131148                5.497168        0  1.472058e+09            0         1
244      230      8        3            0.130612                5.501258        1  1.472144e+09            0         1
245      231      8        3            0.134146                5.505332        1  1.472230e+09            1         0
246      231      8        3            0.137652                5.509388        1  1.472231e+09            1         0
247      232      8        3            0.141129                5.513429        1  1.472234e+09            1         0
248      232      8        3            0.144578                5.517453        0  1.472241e+09            1         0
249      232      8        3            0.144000                5.521461        1  1.472241e+09            0         0
250      232      8        3            0.147410                5.525453        0  1.472249e+09            1         0
251      233      8        3            0.146825                5.529429        1  1.472386e+09            0         1
252      234      8        3            0.150198                5.533389        0  1.472406e+09            1         0
253      235      8        3            0.149606                5.537334        0  1.472490e+09            0         0
254      235      8        3            0.149020                5.541264        0  1.472494e+09            0         0
255      236      8        3            0.148438                5.545177        0  1.472547e+09            0         0
256      236      8        3            0.147860                5.549076        0  1.472552e+09            0         0
257      236      8        3            0.147287                5.552960        0  1.472561e+09            0         0
258      236      8        3            0.146718                5.556828        0  1.472576e+09            0         0
259      236      8        3            0.146154                5.560682        0  1.472580e+09            0         0
260      237      8        3            0.145594                5.564520        1  1.472631e+09            0         0
261      237      8        3            0.148855                5.568345        1  1.472650e+09            1         0
262      237      8        3            0.152091                5.572154        1  1.472659e+09            1         0
263      237      8        3            0.155303                5.575949        0  1.472660e+09            1         0
264      238      8        3            0.154717                5.579730        0  1.472675e+09            0         0
265      238      9        3            0.154135                5.583496        0  1.472714e+09            0         0
266      238      9        3            0.153558                5.587249        0  1.472720e+09            0         0
267      238      9        3            0.152985                5.590987        1  1.472735e+09            0         0
268      238      9        3            0.156134                5.594711        0  1.472736e+09            1         0
269      238      9        3            0.155556                5.598422        0  1.472749e+09            0         0
270      239      9        3            0.154982                5.602119        0  1.472806e+09            0         0
271      239      9        3            0.154412                5.605802        0  1.472811e+09            0         0
272      239      9        3            0.153846                5.609472        0  1.472817e+09            0         0
273      239      9        3            0.153285                5.613128        0  1.472829e+09            0         0
274      240      9        3            0.152727                5.616771        0  1.472849e+09            0         0
275      240      9        3            0.152174                5.620401        1  1.472857e+09            0         0
276      240      9        3            0.155235                5.624018        0  1.472857e+09            1         0
277      240      9        3            0.154676                5.627621        0  1.472894e+09            0         0
278      241      9        3            0.154122                5.631212        0  1.472922e+09            0         0
279      242      9        3            0.153571                5.634790        0  1.473010e+09            0         1
280      243      9        3            0.153025                5.638355        0  1.473095e+09            0         0
281      243      9        3            0.152482                5.641907        1  1.473099e+09            0         0
282      244      9        3            0.155477                5.645447        0  1.473157e+09            1         0
283      244      9        3            0.154930                5.648974        0  1.473181e+09            0         0
284      245      9        3            0.154386                5.652489        0  1.473268e+09            0         1
285      246      9        3            0.153846                5.655992        0  1.473354e+09            0         1
286      247      9        3            0.153310                5.659482        0  1.473441e+09            0         1
287      248      9        3            0.152778                5.662960        0  1.473527e+09            0         1
288      249      9        3            0.152249                5.666427        0  1.473613e+09            0         1
289      250      9        3            0.151724                5.669881        0  1.473700e+09            0         0
290      251      9        3            0.151203                5.673323        1  1.473704e+09            0         0
291      251      9        3            0.154110                5.676754        0  1.473752e+09            1         0
292      251      9        3            0.153584                5.680173        0  1.473786e+09            0         0
293      252      9        3            0.153061                5.683580        0  1.473873e+09            0         1
294      253      9        3            0.152542                5.686975        0  1.473959e+09            0         0
295      254      9        3            0.152027                5.690359        0  1.474045e+09            0         1
296      255      9        3            0.151515                5.693732        0  1.474132e+09            0         1
297      256      9        3            0.151007                5.697093        0  1.474218e+09            0         1
298      257      9        3            0.150502                5.700444        0  1.474305e+09            0         1
299      258      9        3            0.150000                5.703782        1  1.474308e+09            0         0
300      258      9        3            0.152824                5.707110        0  1.474391e+09            1         0
301      259      9        3            0.152318                5.710427        0  1.474477e+09            0         1
302      260      9        3            0.151815                5.713733        0  1.474564e+09            0         1
303      261      9        3            0.151316                5.717028        0  1.474650e+09            0         1
304      262      9        3            0.150820                5.720312        0  1.474736e+09            0         0
305      263      9        3            0.150327                5.723585        1  1.474823e+09            0         1
306      264      9        3            0.153094                5.726848        0  1.474909e+09            1         0
307      265      9        3            0.152597                5.730100        1  1.474913e+09            0         0
308      265      9        3            0.155340                5.733341        0  1.474996e+09            1         0
309      266      9        3            0.154839                5.736572        0  1.475082e+09            0         1
310      267      9        3            0.154341                5.739793        0  1.475168e+09            0         0
311      268      9        3            0.153846                5.743003        0  1.475255e+09            0         1
312      269     10        4            0.153355                5.746203        0  1.475341e+09            0         0
313      270     10        4            0.152866                5.749393        0  1.475428e+09            0         1
314      271     10        4            0.152381                5.752573        0  1.475514e+09            0         0
315      272     10        4            0.151899                5.755742        1  1.475518e+09            0         0
316      272     10        4            0.154574                5.758902        0  1.475600e+09            1         0
317      273     10        4            0.154088                5.762051        0  1.475687e+09            0         1
318      274     10        4            0.153605                5.765191        0  1.475773e+09            0         1
319      275     10        4            0.153125                5.768321        0  1.475860e+09            0         1
320      276     10        4            0.152648                5.771441        0  1.475946e+09            0         1
321      277     10        4            0.152174                5.774552        0  1.476033e+09            0         1
322      278     10        4            0.151703                5.777652        0  1.476119e+09            0         0
323      279     10        4            0.151235                5.780744        1  1.476123e+09            0         0
324      279     10        4            0.153846                5.783825        0  1.476205e+09            1         0
325      280     10        4            0.153374                5.786897        0  1.476292e+09            0         1
326      281     10        4            0.152905                5.789960        0  1.476378e+09            0         1
327      282     10        4            0.152439                5.793014        0  1.476464e+09            0         0
328      283     10        4            0.151976                5.796058        0  1.476551e+09            0         1
329      284     10        4            0.151515                5.799093        0  1.476638e+09            0         1
330      285     10        4            0.151057                5.802118        0  1.476724e+09            0         0
331      286     10        4            0.150602                5.805135        0  1.476728e+09            0         0
332      286     10        4            0.150150                5.808142        0  1.476774e+09            0         0
333      286     10        4            0.149701                5.811141        0  1.476810e+09            0         0
334      287     10        4            0.149254                5.814131        0  1.476896e+09            0         1
335      288     10        4            0.148810                5.817111        0  1.476983e+09            0         1
336      289     10        4            0.148368                5.820083        0  1.477069e+09            0         1
337      290     10        4            0.147929                5.823046        0  1.477156e+09            0         1
338      291     10        4            0.147493                5.826000        0  1.477243e+09            0         1
339      292     10        4            0.147059                5.828946        0  1.477329e+09            0         0
340      293     10        4            0.146628                5.831882        1  1.477332e+09            0         0
341      294     10        4            0.149123                5.834811        0  1.477470e+09            1         1
342      295     10        4            0.148688                5.837730        0  1.477501e+09            0         0
343      296     10        4            0.148256                5.840642        0  1.477588e+09            0         0
344      297     10        4            0.147826                5.843544        0  1.477634e+09            0         0
345      297     10        4            0.147399                5.846439        0  1.477674e+09            0         0
346      298     10        4            0.146974                5.849325        0  1.477761e+09            0         1
347      299     10        4            0.146552                5.852202        0  1.477851e+09            0         1
348      300     10        4            0.146132                5.855072        0  1.477937e+09            0         0
349      300     10        4            0.145714                5.857933        1  1.477941e+09            0         0
350      301     11        4            0.148148                5.860786        0  1.478023e+09            1         0
351      302     11        4            0.147727                5.863631        0  1.478110e+09            0         1
352      303     11        4            0.147309                5.866468        0  1.478196e+09            0         1
353      304     11        4            0.146893                5.869297        0  1.478283e+09            0         1
354      305     11        4            0.146479                5.872118        0  1.478369e+09            0         1
355      306     11        4            0.146067                5.874931        0  1.478455e+09            0         0
356      307     11        4            0.145658                5.877736        0  1.478542e+09            0         1
357      308     11        4            0.145251                5.880533        0  1.478628e+09            0         1
358      309     11        4            0.144847                5.883322        0  1.478715e+09            0         1
359      310     11        4            0.144444                5.886104        0  1.478801e+09            0         1
360      311     11        4            0.144044                5.888878        0  1.478888e+09            0         1
361      312     11        4            0.143646                5.891644        0  1.478974e+09            0         1
362      313     11        4            0.143251                5.894403        0  1.479061e+09            0         1
363      314     11        4            0.142857                5.897154        0  1.479147e+09            0         0
364      315     11        4            0.142466                5.899897        0  1.479233e+09            0         1
365      316     11        4            0.142077                5.902633        0  1.479320e+09            0         1
366      317     11        4            0.141689                5.905362        0  1.479406e+09            0         1
367      318     11        4            0.141304                5.908083        0  1.479494e+09            0         1
368      319     11        4            0.140921                5.910797        0  1.479581e+09            0         1
369      322     11        4            0.140541                5.913503        0  1.479753e+09            0         1
370      323     11        4            0.140162                5.916202        0  1.479840e+09            0         1
371      324     11        4            0.139785                5.918894        0  1.479926e+09            0         1
372      325     11        4            0.139410                5.921578        0  1.480012e+09            0         1
373      326     11        4            0.139037                5.924256        1  1.480099e+09            0         0
374      327     11        4            0.141333                5.926926        0  1.480185e+09            1         1
375      330     11        4            0.140957                5.929589        0  1.480337e+09            0         1
376      330     11        4            0.140584                5.932245        0  1.480356e+09            0         0
377      331     11        4            0.140212                5.934894        0  1.480443e+09            0         1
